source_type,trade_id,signal_id,ticker,opened_at,closed_at,direction,entry_price,exit_price,realized_pnl,capital_at_risk,leverage,score_at_entry,archetype,signal_class,notes
PAPER_TRADE,PB_NSE_BHARTIARTL,,BHARTIARTL,2026-05-14,2026-06-04,LONG,1883.5,,-1.73,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NSE_ICICIBANK,,ICICIBANK,2026-05-14,2026-06-04,LONG,1246.45,,-0.04,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_ETR_SAP,,SAP,2026-05-14,2026-06-04,LONG,141.22,,4.01,50,1.0,,,,TP1 +5% (50%) + TP2 +8% (30%) + runner 20% open +15.6%
PAPER_TRADE,PB_NASDAQ_CSCO,,CSCO,2026-05-15,2026-06-04,LONG,118.14,,3.16,50,1.0,,,,TP1 +5% (50%) + TP2 +8% (30%) + runner 20% open +7.1%
PAPER_TRADE,PB_NYSE_ANET,,ANET,2026-05-18,2026-06-04,LONG,141.97,,-1.56,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NYSE_XOM,,XOM,2026-05-18,2026-06-04,LONG,157.92,,-1.53,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NYSE_RTX,,RTX,2026-05-18,2026-06-04,LONG,171.18,,2.46,50,1.0,,,,TP1 +5% (50%) + runner 50% open +4.8%
PAPER_TRADE,PB_NYSE_LMT,,LMT,2026-05-18,2026-06-04,LONG,522.5,,-1.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NYSE_CVX,,CVX,2026-05-18,2026-06-04,LONG,195.17,,-2.5,50,1.0,,,,STOPPED -5% (no TP)
PAPER_TRADE,PB_NASDAQ_MSFT,,MSFT,2026-05-18,2026-06-04,LONG,418.05,,1.11,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NSE_HDFCBANK,,HDFCBANK,2026-05-18,2026-06-04,LONG,768.55,,-2.5,50,1.0,,,,STOPPED -5% (no TP)
PAPER_TRADE,PB_NSE_RELIANCE,,RELIANCE,2026-05-18,2026-06-04,LONG,1335.2,,-1.25,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NASDAQ_ASML,,ASML,2026-05-18,2026-06-04,LONG,1460.39,,4.27,50,1.0,,,,TP1 +5% (50%) + TP2 +8% (30%) + runner 20% open +18.2%
PAPER_TRADE,PB_NYSEARCA_GLD,,GLD,2026-05-18,2026-06-04,LONG,418.07,,-1.22,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NYSE_TSM,,TSM,2026-05-18,2026-06-04,LONG,393.26,,3.55,50,1.0,,,,TP1 +5% (50%) + TP2 +8% (30%) + runner 20% open +11.0%
PAPER_TRADE,PB_NYSE_WMT,,WMT,2026-05-19,2026-06-04,LONG,133.34,,-2.5,50,1.0,,,,STOPPED -5% (no TP)
PAPER_TRADE,PB_NYSE_JPM,,JPM,2026-05-19,2026-06-04,LONG,300.73,,-0.04,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_EPA_AIR,,AIR,2026-05-19,2026-06-04,LONG,172.46,,1.06,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_ETR_AIR,,AIR,2026-05-19,2026-06-04,LONG,173.02,,0.89,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_ETR_XAD5,,XAD5,2026-05-19,2026-06-04,LONG,369.36,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_ETR_RHM,,RHM,2026-05-21,2026-06-04,LONG,1227.6,,0.46,50,1.0,,,,TP1 +5% (50%) + runner 50% open -3.1%
PAPER_TRADE,PB_NYSE_VALE,,VALE,2026-05-21,2026-06-04,LONG,16.35,,2.01,50,1.0,,,,TP1 +5% (50%) + runner 50% open +3.1%
PAPER_TRADE,PB_NYSE_ZIM,,ZIM,2026-05-21,2026-06-04,LONG,25.16,,-0.36,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NASDAQ_NVDA,,NVDA,2026-05-25,2026-06-04,LONG,215.33,,-0.13,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NASDAQ_AVGO,,AVGO,2026-05-25,2026-06-04,LONG,414.14,,2.28,50,1.0,,,,TP1 +5% (50%) + TP2 +8% (30%) + runner 20% open -1.7%
PAPER_TRADE,PB_NYSE_NOC,,NOC,2026-05-25,2026-06-04,LONG,555.58,,-1.89,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NYSE_BHP,,BHP,2026-05-25,2026-06-04,LONG,84.6,,3.46,50,1.0,,,,TP1 +5% (50%) + TP2 +8% (30%) + runner 20% open +10.1%
PAPER_TRADE,PB_NYSE_INFY,,INFY,2026-05-25,2026-06-04,LONG,12.67,,0.7,50,1.0,,,,TP1 +5% (50%) + runner 50% open -2.2%
PAPER_TRADE,PB_NASDAQ_GOOGL,,GOOGL,2026-05-26,2026-06-04,LONG,382.97,,-2.5,50,1.0,,,,STOPPED -5% (no TP)
PAPER_TRADE,PB_NASDAQ_AMZN,,AMZN,2026-05-26,2026-06-04,LONG,266.32,,-2.5,50,1.0,,,,STOPPED -5% (no TP)
PAPER_TRADE,PB_NASDAQ_META,,META,2026-05-26,2026-06-04,LONG,610.26,,1.04,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NASDAQ_AAPL,,AAPL,2026-05-26,2026-06-04,LONG,308.82,,0.31,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_NASDAQ_AMD,,AMD,2026-05-26,2026-06-04,LONG,467.51,,4.05,50,1.0,,,,TP1 +5% (50%) + TP2 +8% (30%) + runner 20% open +16.0%
PAPER_TRADE,PB_NYSE_GD,,GD,2026-05-26,2026-06-04,LONG,342.89,,-0.21,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_LON_HSBA,,HSBA,2026-06-01,2026-06-04,LONG,1392.2,,-1.33,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_TYO_8306,,8306,2026-06-01,2026-06-04,LONG,3023.0,,-0.4,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_TYO_291A,,291A,2026-06-01,2026-06-04,LONG,1751.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
PAPER_TRADE,PB_KRX_003550,,003550,2026-06-02,2026-06-04,LONG,140000.0,,0.0,50,1.0,,,,OPEN (no TP; no stop)
